,formula,heusler type,num_electron,struct type,latt const,tetragonality,e_form,pol fermi,gap width,stability,mu_b,mu_b saturation
380,"[27, 27, 23, 49]","[1, 0, 0]",26,"[0, 1, 0, 0, 0, 0]",6.0,1.0,0.017,94.62,0.085,False,2.0031,344.01
381,"[27, 27, 23, 14]","[1, 0, 0]",27,"[1, 0, 0, 0, 0, 0]",5.21,1.2687,-0.448,51.51,0.0,True,0.9313,192.55
382,"[27, 27, 23, 32]","[1, 0, 0]",27,"[1, 0, 0, 0, 0, 0]",5.2646,1.2922,-0.263,13.5,0.0,True,0.923,181.6
383,"[27, 27, 23, 50]","[1, 0, 0]",27,"[0, 1, 0, 0, 0, 0]",6.02,1.0,-0.092,70.08,0.256,True,3.0,510.1
384,"[27, 27, 23, 15]","[1, 0, 0]",28,"[1, 0, 0, 0, 0, 0]",4.9881,1.4113,-0.423,0.0,0.0,True,0.0001,0.02
385,"[27, 27, 23, 33]","[1, 0, 0]",28,"[1, 0, 0, 0, 0, 0]",5.1288,1.4031,-0.169,0.03,0.0,True,0.0002,0.04
386,"[27, 27, 23, 51]","[1, 0, 0]",28,"[0, 1, 0, 0, 0, 0]",6.02,1.0,0.001,9.32,0.38,False,3.6913,627.65
387,"[27, 27, 24, 13]","[1, 0, 0]",27,"[0, 1, 0, 0, 0, 0]",5.704,1.0001,-0.233,100.0,0.441,True,3.0,599.57
388,"[27, 27, 24, 31]","[1, 0, 0]",27,"[0, 1, 0, 0, 0, 0]",5.7241,0.9986,-0.105,94.22,0.138,True,3.0259,599.32
389,"[27, 27, 24, 49]","[1, 0, 0]",27,"[0, 1, 0, 0, 0, 0]",5.98,1.0,0.207,88.65,0.0,False,3.165,549.03
390,"[27, 27, 24, 14]","[1, 0, 0]",28,"[0, 1, 0, 0, 0, 0]",5.6335,0.9995,-0.31,100.0,0.565,True,4.0,830.36
391,"[27, 27, 24, 32]","[1, 0, 0]",28,"[0, 1, 0, 0, 0, 0]",5.74,1.0,-0.111,100.0,0.29,True,4.0,784.61
